YARDSTOGO,SCOREDIFF,TIMELEFT,TRUEFIELD,CONCEPT_8,CONCEPT_9,YARDSGAINED_Mean,AVG_OVER_TOGO,prob_FIRST,TARGET_1ST,STRAT_1ST,RUN_PASS_RUN,PLAYID_PASS4,PLAYID_PASS5,PLAYID_PASS6,PLAYID_PASS7,PLAYID_PASS8,PLAYID_PASS9,PLAYID_RUN1,PLAYID_RUN2,PLAYID_RUN3,PLAYID_RUN5,TEE_SHORT,TEE_MED,TEE_LONG,TEE_XLONG,DOWNNAME_1st,DOWNNAME_3rd
7,7,720,35,4,1,6.216667,0.888095286,0.248448515,0,LONG3rd0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11,7,600,25,1,9,6.430769000000001,0.584615364,0.28024864,0,XLONG1st0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
10,-7,1200,15,7,3,10.824561,1.0824561000000001,0.301533043,0,LONG1st0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
3,0,30,5,4,9,8.164835,2.721611667,0.77221035,1,SHORT3rd1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,-7,90,35,7,1,10.717391000000001,1.339673875,0.43192534200000005,0,LONG3rd0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
10,7,1140,35,9,0,14.309091,1.4309091,0.42092003,0,LONG1st0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4,-7,180,25,9,1,14.8,3.7,0.598298765,1,MED3rd1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,1050,25,9,8,15.638176999999999,15.638176999999999,0.696746966,1,SHORT1st1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
4,7,900,45,7,3,10.824561,2.70614025,0.713331398,1,MED1st1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,7,90,45,5,5,8.276163,8.276163,0.326672228,0,SHORT1st0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11,-7,720,45,3,0,5.62,0.510909091,0.19100054800000002,0,XLONG1st0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
11,-7,1200,15,5,1,4.756098000000001,0.432372545,0.247032583,0,XLONG1st0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
3,0,480,25,1,0,5.62,1.8733333330000002,0.6555613229999999,1,SHORT3rd1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,-7,1200,25,8,1,12.42,1.7742857140000001,0.568339271,1,LONG3rd1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2,7,1140,25,1,9,6.430769000000001,3.2153845000000003,0.704633119,1,SHORT1st1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
4,7,1140,35,2,9,5.4195400000000005,1.3548850000000001,0.8271941509999999,1,MED3rd1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,7,60,5,3,9,5.028571,1.676190333,0.612065275,1,SHORT1st1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,0,30,45,2,1,5.971223,0.9952038329999999,0.709302221,1,MED3rd1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5,-7,90,15,5,7,8.276163,1.6552326000000002,0.53060602,1,MED1st1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9,-7,1140,15,9,7,15.724138,1.747126444,0.20757324,0,LONG1st0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4,7,180,15,4,9,8.164835,2.04120875,0.6136076079999999,1,MED1st1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,180,5,6,1,14.717948999999999,14.717948999999999,0.23242414,0,SHORT1st0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,-7,30,15,8,3,11.895105000000001,3.965035,0.546512155,1,SHORT1st1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,7,600,5,3,9,5.028571,5.028571,0.685300571,1,SHORT3rd1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
10,0,840,35,7,2,10.717391000000001,1.0717391,0.348279121,0,LONG1st0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
6,-7,975,45,9,9,15.638176999999999,2.606362833,0.5406682079999999,1,MED1st1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
3,0,120,25,1,9,6.430769000000001,2.143589667,0.590378203,1,SHORT1st1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,7,180,5,1,1,5.277778,5.277778,0.6842367559999999,1,SHORT3rd1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
10,0,480,25,9,0,14.309091,1.4309091,0.457653769,0,LONG1st0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,0,1050,5,2,7,8.815789,8.815789,0.8079562779999999,1,SHORT3rd1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2,-7,1200,25,5,3,4.756098000000001,2.3780490000000003,0.8127761509999999,1,SHORT3rd1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
9,7,600,25,6,9,13.70354,1.5226155559999999,0.53111655,1,LONG3rd1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
8,-7,90,45,8,9,12.42,1.5525,0.490078876,0,LONG3rd0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
11,0,840,45,9,0,14.309091,1.300826455,0.24313258199999999,0,XLONG1st0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
8,-7,975,25,7,3,10.824561,1.353070125,0.5346505189999999,1,LONG3rd1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
7,0,480,45,5,5,4.756098000000001,0.6794425709999999,0.399014918,0,LONG1st0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
9,-7,975,45,4,2,8.164835,0.907203889,0.41360895299999995,0,LONG3rd0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8,-7,975,25,5,3,4.756098000000001,0.59451225,0.348413384,0,LONG1st0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
11,-7,1200,45,6,7,13.196295999999998,1.1996632729999999,0.19100054800000002,0,XLONG1st0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
8,7,60,25,5,2,4.756098000000001,0.59451225,0.398874344,0,LONG1st0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,7,900,5,9,9,15.638176999999999,15.638176999999999,0.557849539,1,SHORT3rd1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2,7,600,35,7,2,10.717391000000001,5.3586955000000005,0.8055648809999999,1,SHORT1st1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
9,-7,975,25,8,1,12.42,1.38,0.7490894020000001,1,LONG3rd1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,7,30,35,5,2,4.756098000000001,4.756098000000001,0.477454049,0,SHORT3rd0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5,0,975,25,1,2,3.166667,0.6333333999999999,0.33911008200000003,0,MED3rd0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
11,7,60,15,8,3,11.895105000000001,1.081373182,0.196104604,0,XLONG3rd0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,0,120,25,3,2,6.464789,3.2323945,0.723045246,1,SHORT3rd1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
8,7,840,35,5,3,4.756098000000001,0.59451225,0.707759213,1,LONG3rd1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
9,7,180,15,1,0,5.62,0.624444444,0.48105951,0,LONG1st0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2,-7,720,15,1,3,5.7619050000000005,2.8809525000000002,0.6605973310000001,1,SHORT1st1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
3,-7,720,25,3,2,6.464789,2.1549296669999998,0.599522469,1,SHORT1st1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
9,-7,975,25,5,2,4.756098000000001,0.5284553329999999,0.49468091200000003,0,LONG3rd0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,-7,1200,45,9,9,15.638176999999999,15.638176999999999,0.81237647,1,SHORT1st1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
4,0,840,5,5,2,4.756098000000001,1.1890245000000002,0.649398652,1,MED3rd1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
11,-7,90,45,8,9,12.42,1.129090909,0.142547794,0,XLONG1st0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
4,-7,300,35,4,3,8.164835,2.04120875,0.469542474,0,MED3rd0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,7,975,15,8,4,11.895105000000001,11.895105000000001,0.482321635,0,SHORT3rd0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
4,7,480,5,9,2,16.634615,4.15865375,0.43273265899999996,0,MED3rd0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4,0,720,5,9,2,16.634615,4.15865375,0.53257262,1,MED1st1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
8,0,840,35,4,2,8.164835,1.020604375,0.36660402799999997,0,LONG1st0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9,7,180,25,6,7,13.196295999999998,1.466255111,0.391767525,0,LONG1st0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2,-7,90,5,6,1,14.717948999999999,7.3589744999999995,0.719259203,1,SHORT1st1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,-7,300,45,6,7,13.196295999999998,13.196295999999998,0.6732762309999999,1,SHORT1st1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7,0,840,45,4,1,6.216667,0.888095286,0.39781378,0,LONG1st0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
11,7,900,35,8,1,12.42,1.129090909,0.671115008,1,XLONG1st1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
4,0,840,5,9,1,14.8,3.7,0.380118151,0,MED1st0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
8,7,1140,45,6,7,13.196295999999998,1.6495369999999998,0.538082132,1,LONG3rd1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2,7,180,5,5,1,4.756098000000001,2.3780490000000003,0.593869917,1,SHORT1st1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3,0,840,25,7,3,10.824561,3.6081870000000005,0.755298721,1,SHORT3rd1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
6,0,720,15,6,0,13.08867,2.181445,0.667281595,1,MED1st1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2,7,1140,25,4,9,8.164835,4.0824175,0.615504966,1,SHORT1st1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9,-7,180,15,7,5,10.74,1.193333333,0.43924313,0,LONG1st0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2,0,1050,15,5,5,8.276163,4.1380815,0.691384773,1,SHORT1st1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,0,480,15,3,3,6.005976,1.501494,0.589108814,1,MED1st1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2,0,120,25,7,7,10.74,5.37,0.7035232790000001,1,SHORT3rd1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5,0,30,45,7,3,10.824561,2.1649122000000003,0.653930497,1,MED1st1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
6,-7,975,15,5,7,8.276163,1.3793605,0.585086598,1,MED3rd1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,-7,90,15,7,2,10.717391000000001,3.572463667,0.6298385470000001,1,SHORT1st1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
9,0,1200,15,8,3,11.895105000000001,1.321678333,0.682971815,1,LONG3rd1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
7,0,120,45,5,9,8.276163,1.182309,0.43542064700000005,0,LONG3rd0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,-7,900,5,8,3,11.895105000000001,3.965035,0.526990734,1,SHORT3rd1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
8,-7,90,45,5,4,4.756098000000001,0.59451225,0.42202744200000003,0,LONG3rd0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
4,0,840,35,5,2,8.276163,2.06904075,0.6535870220000001,1,MED3rd1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,-7,975,45,9,0,14.309091,1.788636375,0.517480914,1,LONG3rd1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,7,600,45,4,2,8.164835,8.164835,0.7918693920000001,1,SHORT3rd1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,0,1050,35,5,3,5.243243,0.7490347140000001,0.293589483,0,LONG1st0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,-7,180,25,6,0,13.08867,4.36289,0.801820515,1,SHORT1st1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
6,0,840,45,9,0,14.309091,2.3848485,0.6791186840000001,1,MED1st1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
6,7,600,15,9,4,16.093023000000002,2.6821705000000002,0.418150595,0,MED1st0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
7,7,1140,25,1,7,5.62,0.802857143,0.600408092,1,LONG3rd1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
7,7,900,35,1,2,3.166667,0.45238100000000003,0.660086693,1,LONG3rd1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3,0,1050,45,2,9,5.4195400000000005,1.806513333,0.588252652,1,SHORT3rd1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6,-7,975,45,3,0,5.62,0.936666667,0.619039771,1,MED3rd1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,7,600,45,1,5,7.482759,7.482759,0.779636488,1,SHORT3rd1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9,7,180,25,2,1,5.971223,0.663469222,0.352682073,0,LONG1st0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2,-7,840,25,4,9,8.164835,4.0824175,0.646181904,1,SHORT3rd1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,120,45,2,0,6.36,3.18,0.780225245,1,SHORT1st1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
8,7,60,35,3,8,5.483871,0.685483875,0.544787359,1,LONG3rd1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
6,-7,975,35,5,3,4.756098000000001,0.792683,0.577650427,1,MED1st1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
9,0,975,35,1,2,3.166667,0.351851889,0.729307988,1,LONG3rd1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
11,0,480,15,5,7,8.276163,0.752378455,0.256925167,0,XLONG1st0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
5,-7,975,15,8,3,11.895105000000001,2.379021,0.390442424,0,MED3rd0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
6,0,840,25,1,2,3.166667,0.5277778329999999,0.639131224,1,MED3rd1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,1140,35,8,5,13.416667000000002,2.236111167,0.730765765,1,MED3rd1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3,7,1140,25,5,7,8.276163,2.758721,0.464016772,0,SHORT3rd0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,30,5,9,1,14.8,7.4,0.595523738,1,SHORT3rd1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,7,60,45,5,3,4.756098000000001,4.756098000000001,0.748526531,1,SHORT1st1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
4,-7,90,25,4,9,8.164835,2.04120875,0.599186759,1,MED3rd1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,600,15,5,7,8.276163,4.1380815,0.589232739,1,SHORT1st1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9,7,480,25,9,9,15.638176999999999,1.7375752219999998,0.34475591899999997,0,LONG3rd0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
8,7,300,45,2,2,3.777778,0.47222225,0.42696312700000005,0,LONG3rd0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2,0,30,5,9,1,14.8,7.4,0.79817085,1,SHORT3rd1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,-7,1200,35,5,3,4.756098000000001,4.756098000000001,0.667984688,1,SHORT3rd1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
9,0,90,35,1,3,5.7619050000000005,0.640211667,0.728535982,1,LONG3rd1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
9,-7,90,15,6,0,13.08867,1.454296667,0.46877281,0,LONG3rd0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,480,5,3,3,6.005976,6.005976,0.36595642700000003,0,SHORT1st0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
3,0,60,5,6,1,14.717948999999999,4.905983,0.5647004170000001,1,SHORT1st1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,0,480,15,1,3,5.7619050000000005,1.44047625,0.653948816,1,MED3rd1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,0,120,35,2,0,6.36,0.636,0.564747996,1,LONG3rd1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2,0,1200,35,1,9,6.430769000000001,3.2153845000000003,0.629514939,1,SHORT1st1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
9,0,840,25,1,8,5.62,0.624444444,0.37858425700000004,0,LONG1st0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3,0,480,45,7,3,10.824561,3.6081870000000005,0.681296745,1,SHORT3rd1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
9,0,30,35,1,2,3.166667,0.351851889,0.387205185,0,LONG1st0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2,7,60,45,9,0,14.309091,7.1545455,0.404304955,0,SHORT1st0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5,-7,90,25,8,5,13.416667000000002,2.6833334,0.592594624,1,MED3rd1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
8,-7,720,25,4,7,8.164835,1.020604375,0.525176212,1,LONG3rd1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,0,120,25,8,3,11.895105000000001,3.965035,0.7759844379999999,1,SHORT3rd1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
8,7,180,45,7,3,10.824561,1.353070125,0.754681715,1,LONG1st1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2,0,480,35,7,2,10.717391000000001,5.3586955000000005,0.625038269,1,SHORT1st1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
7,7,600,45,5,5,4.756098000000001,0.6794425709999999,0.407227835,0,LONG1st0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
7,0,60,15,9,7,15.724138,2.246305429,0.46912990200000004,0,LONG1st0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
5,0,480,45,8,9,12.42,2.484,0.7330120640000001,1,MED1st1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
5,0,120,15,6,0,13.08867,2.617734,0.46302302,0,MED1st0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5,7,900,5,1,0,5.62,1.124,0.6503376000000001,1,MED1st1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
4,7,180,5,8,3,11.895105000000001,2.97377625,0.604433369,1,MED3rd1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2,0,1050,35,2,9,5.4195400000000005,2.7097700000000002,0.616716142,1,SHORT1st1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
